n,t_ns,swaps
100,4.2000000000e+03,313
100,4.4000000000e+03,350
100,4.2000000000e+03,324
100,3.8000000000e+03,264
100,3.9000000000e+03,305
100,4.2000000000e+03,348
100,4.1000000000e+03,323
100,3.9000000000e+03,305
100,4.0000000000e+03,313
100,3.6000000000e+03,280
112,5.2000000000e+03,452
112,5.1000000000e+03,419
112,4.8000000000e+03,401
112,4.9000000000e+03,376
112,4.5000000000e+03,376
112,4.6000000000e+03,377
112,4.8000000000e+03,366
112,4.6000000000e+03,383
112,4.7000000000e+03,397
112,4.9000000000e+03,400
126,5.6000000000e+03,474
126,5.5000000000e+03,468
126,5.5000000000e+03,456
126,5.6000000000e+03,504
126,5.9000000000e+03,520
126,5.1000000000e+03,393
126,5.9000000000e+03,505
126,5.7000000000e+03,510
126,5.3000000000e+03,444
126,5.5000000000e+03,479
142,6.7000000000e+03,583
142,5.8000000000e+03,457
142,5.8000000000e+03,433
142,6.6000000000e+03,554
142,6.2000000000e+03,481
142,6.6000000000e+03,541
142,6.2000000000e+03,505
142,6.2000000000e+03,494
142,5.8000000000e+03,454
142,6.3000000000e+03,543
159,6.7000000000e+03,505
159,7.6000000000e+03,623
159,7.8000000000e+03,635
159,7.6000000000e+03,642
159,7.4000000000e+03,627
159,7.5000000000e+03,639
159,7.3000000000e+03,576
159,7.3000000000e+03,623
159,7.2000000000e+03,577
159,7.5000000000e+03,642
179,8.4000000000e+03,683
179,8.6000000000e+03,757
179,8.6000000000e+03,697
179,9.0000000000e+03,792
179,8.7000000000e+03,684
179,8.8000000000e+03,742
179,8.9000000000e+03,762
179,9.1000000000e+03,826
179,8.2000000000e+03,656
179,9.5000000000e+03,860
201,9.9000000000e+03,817
201,9.7000000000e+03,792
201,9.6000000000e+03,772
201,1.0000000000e+04,811
201,1.0100000000e+04,871
201,9.8000000000e+03,804
201,1.0200000000e+04,855
201,9.7000000000e+03,848
201,1.0000000000e+04,794
201,9.4000000000e+03,723
226,1.1200000000e+04,896
226,1.1100000000e+04,930
226,1.1700000000e+04,987
226,1.1200000000e+04,889
226,1.2200000000e+04,1073
226,1.1400000000e+04,1007
226,1.1100000000e+04,925
226,1.2000000000e+04,1071
226,1.1500000000e+04,953
226,1.1900000000e+04,1013
254,1.3200000000e+04,1109
254,1.4200000000e+04,1254
254,1.2900000000e+04,1051
254,1.3500000000e+04,1187
254,1.3400000000e+04,1189
254,1.3900000000e+04,1302
254,1.3500000000e+04,1110
254,1.3500000000e+04,1193
254,1.3500000000e+04,1172
254,1.3200000000e+04,1145
285,2.0000000000e+04,1466
285,1.4400000000e+04,1230
285,1.3700000000e+04,1190
285,1.5200000000e+04,1386
285,1.5400000000e+04,1425
285,1.4700000000e+04,1317
285,1.4700000000e+04,1309
285,1.5900000000e+04,1361
285,1.5500000000e+04,1403
285,1.5300000000e+04,1425
